segment,average_actual,average_predicted,average_effect,average_effect_pct,cumulative_actual,cumulative_predicted,cumulative_effect,cumulative_effect_pct,p_value,t_statistic,alpha
aggregated,554.4426315789474,0.0,554.4426315789474,0,42137.64,0.0,42137.64,0,1.4974733222358844e-17,11.132685075008403,0.05
channel_Social,190.0671052631579,0.0,190.0671052631579,0,14445.1,0.0,14445.1,0,1.8686432649760027e-13,8.948097055786562,0.05
channel_Search,204.07355263157896,0.0,204.07355263157896,0,15509.59,0.0,15509.59,0,1.3767977350536332e-12,8.492519148879849,0.05
channel_Display,73.28447368421054,0.0,73.28447368421054,0,5569.620000000001,0.0,5569.620000000001,0,1.131755637701078e-08,6.415568048309625,0.05
channel_Video,47.80797297297297,0.0,47.80797297297297,0,3537.79,0.0,3537.79,0,3.582515190980854e-06,5.016232730036503,0.05
channel_Email,42.13068493150685,0.0,42.13068493150685,0,3075.54,0.0,3075.54,0,3.3762101784871404e-05,4.4236846224009705,0.05
country_AE,82.21706666666667,0.0,82.21706666666667,0,6166.28,0.0,6166.28,0,1.4259055125816538e-08,6.371249181336159,0.05
country_IN,108.72893333333333,0.0,108.72893333333333,0,8154.67,0.0,8154.67,0,3.509677583914084e-10,7.2393154330001845,0.05
country_FR,101.03513157894737,0.0,101.03513157894737,0,7678.67,0.0,7678.67,0,5.201743900200741e-09,6.598445315534564,0.05
country_DE,91.63013333333333,0.0,91.63013333333333,0,6872.26,0.0,6872.26,0,6.2322001277081915e-09,6.567177710299453,0.05
country_UK,84.76216216216217,0.0,84.76216216216217,0,6272.400000000001,0.0,6272.400000000001,0,2.461877594054367e-07,5.691569263241699,0.05
country_US,92.01789473684211,0.0,92.01789473684211,0,6993.360000000001,0.0,6993.360000000001,0,5.994953638443439e-10,7.101274890342049,0.05
device_Desktop,140.34276315789472,0.0,140.34276315789472,0,10666.05,0.0,10666.05,0,1.774738200146687e-10,7.381879285695711,0.05
device_Mobile,377.1172368421052,0.0,377.1172368421052,0,28660.909999999996,0.0,28660.909999999996,0,3.825559803886314e-17,10.91149610886776,0.05
device_Tablet,45.33354838709677,0.0,45.33354838709677,0,2810.68,0.0,2810.68,0,6.85863427511273e-05,4.273715281022098,0.05
