parameter,value,offset_days,cumulative_effect,p_value,is_significant,cumulative_effect_pct
intervention_date,2024-03-01,-14.0,21153.09816333368,9.579055832646161e-08,True,
intervention_date,2024-03-08,-7.0,36111.07091317795,1.0340707824545187e-13,True,
intervention_date,2024-03-15,0.0,42137.64,2.0588387702436586e-19,True,
intervention_date,2024-03-22,7.0,42137.64,2.976381524675573e-18,True,
intervention_date,2024-03-29,14.0,42137.64000000001,2.020628397795857e-18,True,
alpha,0.01,,42137.64,1.0048394268601875e-20,True,
alpha,0.05,,42137.64,1.0048394268601875e-20,True,
alpha,0.1,,42137.64,1.0048394268601875e-20,True,
metric,revenue_usd,,42137.64,1.1651677955027817e-19,True,0.0
metric,conversion,,303.0,5.846699725233131e-20,True,0.0
metric,clicks,,5723.0,7.379442605565411e-25,True,0.0
